"Korean Name","English Name","Searched Eng Name","Functions"
"아이소프로필티타늄트라이아이소스테아레이트","Isopropyl Titanium Triisostearate","ISOPROPYL TITANIUM TRIISOSTEARATE/METHICONE CROSSPOLYMER","SURFACTANT - CLEANSING | VISCOSITY CONTROLLING"
"아이소프로필팔미테이트","Isopropyl Palmitate","ISOPROPYL PALMITATE","BINDING | SKIN CONDITIONING - EMOLLIENT | FRAGRANCE | PERFUMING"
"아이소프로필호호베이트","Isopropyl Jojobate","HYDROGENATED ISOPROPYL JOJOBATE","SKIN CONDITIONING"
"아이소헥사데칸","Isohexadecane","ISOHEXADECANE","SKIN CONDITIONING - EMOLLIENT | SOLVENT"
"아줄렌","Azulene","AZULENE","SKIN CONDITIONING | SOOTHING"
"아쿠아필루스 돌로미아이발효여과물","Aquaphilus Dolomiae Ferment Filtrate","AQUAPHILUS DOLOMIAE FERMENT FILTRATE","SKIN CONDITIONING | SKIN PROTECTING"
"아텔로콜라겐","Atelocollagen","SUCCINOYL ATELOCOLLAGEN","SKIN CONDITIONING"
"아틀라스시다나무껍질오일","Cedrus Atlantica Bark Oil","CEDRUS ATLANTICA BARK OIL","FRAGRANCE | SKIN CONDITIONING | PERFUMING"
"아티초크잎추출물","Cynara Scolymus (Artichoke) Leaf Extract","CYNARA SCOLYMUS LEAF EXTRACT","SKIN CONDITIONING"
"아파노테케 사크룸엑소폴리사카라이즈","Aphanothece Sacrum Exopolysaccharides","APHANOTHECE SACRUM EXOPOLYSACCHARIDES","ABSORBENT | EMULSION STABILISING | FILM FORMING | VISCOSITY CONTROLLING"
